순번,해수욕장,nx,ny,경도,위도,위치
312,원안해수욕장,47,108,126.229630,36.709076,충청남도
313,진하 해수욕장,103,80,129.345822222222,35.3835638888889,경상북도
314,비진도 해수욕장,87,65,128.460191666667,34.7197555555556,경상남도
315,덕포 해수욕장,92,70,128.712591666667,34.9125833333333,경상남도
316,와현모래숲해변,92,67,128.705838888889,34.8126833333333,경상남도
317,흥남 해수욕장,92,71,128.71505,34.9600611111111,경상남도
318,음포해수욕장,48,111,126.287651,36.847019,충청남도
319,황포 해수욕장,91,72,128.676247222222,35.0211277777778,경상남도
320,농소몽돌 해수욕장,91,72,128.695219444444,35.0068,경상남도
321,구조라 해수욕장,91,67,128.690883333333,34.8083055555556,경상남도
322,학동흑진주몽돌해변,90,67,128.640505555556,34.7732861111111,경상남도
323,명사 해수욕장,90,66,128.603852777778,34.7261444444444,경상남도
324,함목 해수욕장,91,66,128.652675,34.7392138888889,경상남도
325,여차몽돌 해수욕장,90,65,128.626375,34.7135083333333,경상남도
326,설리 해수욕장,79,65,128.026,34.71,경상남도
327,상주은모래비치,79,65,127.988205555556,34.7203138888889,경상남도
328,먼동해수욕장,46,112,126.172714,36.893326,충청남도
329,송정솔바람해변,76,65,128.023144444444,34.7211833333333,경상남도
330,두곡.월포 해수욕장,77,66,127.907327777778,34.7677472222222,경상남도
331,사촌 해수욕장,76,65,127.855494444444,34.7416861111111,경상남도
332,남일대 해수욕장,81,70,128.096661111111,34.9262055555556,경상남도
333,덕동 해수욕장,83,63,128.237391666667,34.6354277777778,경상남도
334,수륙 해수욕장,87,68,128.44,34.8238,경상남도
335,사목해수욕장,48,113,126.288071,36.939106,충청남도
336,황금산몽돌해변,49,114,126.345932,36.984974,충청남도
337,봉암몽돌 해수욕장,88,66,128.511430555556,34.7598805555556,경상남도
338,하트해변,102,117,129.406967,37.065926,경상북도
339,월천해변,101,119,129.354126,37.159927,경상북도
340,물안(옆개) 해수욕장,90,72,128.6532,35.0111472222222,경상남도
341,덕원 해수욕장,89,67,128.575491666667,34.7788305555556,경상남도
342,표선해비치,58,34,126.8434,33.327275,제주
343,화순금모래 해수욕장,49,32,126.319202777778,33.2362388888889,제주
344,신양섭지코지 해수욕장,60,37,126.923763888889,33.4346222222222,제주
345,곽지과물 해수욕장,48,37,126.304597222222,33.4506472222222,제주
346,협재 해수욕장,47,36,126.239966666667,33.3944583333333,제주
347,중문ㆍ색달 해수욕장,51,32,126.411608333333,33.2447944444444,제주
348,이호테우 해수욕장,51,38,126.452686111111,33.4979916666667,제주
349,삼양검은모래 해수욕장,54,39,126.586002777778,33.525725,제주
350,임원해변,101,120,129.356552,37.205963,강원도
351,노가리해수욕장,51,120,126.463242,37.260925,인천
352,함덕서우봉 해수욕장,55,39,126.669447222222,33.5434416666667,제주
353,하고수동 해수욕장,61,38,126.958561111111,33.5133027777778,제주
354,김녕성세기 해수욕장,57,39,126.759727777778,33.5579888888889,제주
355,금능으뜸원 해수욕장,47,36,126.235177777778,33.3899083333333,제주
356,낭하리해변,52,120,126.521141,37.260643,인천
357,하도 해수욕장,59,38,126.898733333333,33.5129055555556,제주
358,용담리해변,51,120,126.463242,37.260925,인천
359,신남해변,100,121,129.301132,37.253918,강원도
360,사량 대항 해수욕장,83,68,128.213,34.8508,경상남도
361,덕적도 능동자갈마당,45,120,126.115814,37.261925,인천
362,구봉솔숲해수욕장,52,120,126.521141,37.260643,인천
363,후포 해수욕장,103,109,129.442183333333,36.6758305555556,경상북도
364,소청예동 해수욕장,21,131,124.72,37.77,인천
365,사곶 해수욕장,21,135,124.71,37.95,인천
366,구리동 해수욕장,38,129,125.698144444444,37.6710583333333,인천
367,실미 해수욕장,50,123,126.4,37.4,인천
368,황성금리 해수욕장,44,61,126.06,34.53,전라남도
369,추포 해수욕장,44,66,126.067975,34.8014527777778,전라남도
370,신도 해수욕장,42,62,125.97,34.58,전라남도
371,배낭기미 해수욕장,33,64,125.43,34.69,전라남도
372,홍도 해수욕장,28,64,125.19,34.69,전라남도
373,낭도 해수욕장,71,62,127.54,34.6,전라남도
374,정강 해수욕장,65,54,127.24,34.22,전라남도
375,대풍 해수욕장,65,54,127.24,34.24,전라남도
376,구시포 해수욕장,51,81,126.43,35.4451305555556,전라북도
377,하효쇠소깍 해수욕장,54,33,126.623894444444,33.2524916666667,제주
378,종달 해수욕장,60,38,126.913233333333,33.4961611111111,제주
379,서빈백사 해수욕장,60,38,126.944933333333,33.5023555555556,제주
380,추자모진이 해수욕장,49,48,126.334919444444,33.9456111111111,제주
381,밤섬 해수욕장,49,100,126.36,36.33,충청남도
382,몽돌해수욕장 (옹진군),51,120,126.463242,37.260925,인천
383,방아머리해수욕장,53,121,126.579468,37.306412,인천
384,당너머 해수욕장,49,100,126.35,36.35,인천
385,호도 해수욕장,48,99,126.27,36.3,충청남도
386,초곡해수욕장,100,122,129.303513,37.299969,강원도
387,곰섬 해수욕장,48,105,126.291552777778,36.5875111111111,충청남도
388,백리포(방주골) 해수욕장,46,110,126.154563888889,36.8110888888889,충청남도
389,사곡 해수욕장,89,69,128.57,34.9,경상남도
390,구영 해수욕장,91,72,128.69,35.03,경상남도
391,망치해변 해수욕장,91,67,128.67,34.81,경상남도
392,옥계 해수욕장,90,71,128.6,34.98,경상남도
393,한재밑해변,98,124,129.192352,37.395821,강원도
394,거잠포해변,50,123,126.406219,37.399452,인천
395,용유도 마시안해변,50,124,126.406509,37.445557,인천
396,선녀바위해수욕장,50,124,126.406509,37.445557,인천
397,용유도해변,50,124,126.406509,37.445557,인천
398,왜목마을 해수욕장,52,115,126.53,37.04,충청남도
399,감추해변,97,126,129.138916,37.489780,강원도
400,한섬해변&한섬감성바닷길,97,127,129.141190,37.535858,강원도
401,고불개해변,97,127,129.141190,37.535858,강원도
402,하평해변(동해),97,127,129.141190,37.535858,강원도
403,염전해변,94,131,128.975494,37.725513,강원도
404,북분리 해수욕장,90,137,128.748896,37.988155,강원도
405,순포해변,92,133,128.863083,37.821095,강원도
406,대청도 농여해변,21,133,124.714096,37.853374,인천
407,소돌해수욕장,91,135,128.808792,37.914974,강원도
408,고파도 해수욕장,49,112,126.34,36.91,충청남도
409,광암 해수욕장,88,74,128.5,35.1,경상남도
410,청시행비치,91,135,128.808792,37.914974,강원도
411,웅천 해수욕장,73,65,127.67,34.74,전라남도
412,중광정해변,49,100,128.7186,38.0274,강원도
413,화진포콘도 해수욕장,84,147,128.4409,38.47531,강원도
414,서도 해수욕장,66,50,127.29,34.05,전라남도
415,설레미 해수욕장,46,70,126.14,34.96,전라남도
416,짱뚱어 해수욕장,45,71,126.13,34.99,전라남도
417,향호해수욕장,91,135,128.808792,37.914974,강원도
418,백령도 콩돌해변,21,134,124.713158,37.899521,인천
419,애견전용해수욕장 멍비치,90,136,128.752335,37.962708,강원도
420,38해변,90,137,128.754349,38.008842,강원도
